
a	(thông tục) loại a
xem premeditated
xem premeditate
xem premeditate
thời kỳ tiền kinh nguyệt
(thuộc) xem premenstrua
<vt>  PMT (sự đảo lộn về sinh lý
chức vị thủ tướng; nhiệm kỳ của một thủ tướng
(thuộc) xem premillennialism
thuyết cho rằng chúa Jêsu sẽ quay trở lại trị vì thế giới trong một ngàn năm hạnh phúc
người theo premillennialism
ngôi nhà hoặc các toà nhà khác có nhà phụ
bản tóm tắt
(Premium Bond) công trái không có tiền lời nhưng có giải thưởng xổ số định kỳ
trộn lẫn từ trước (bê tông)
răng tiền hàm
báo trước; cảnh cáo
người cảnh cáo trước
xem premonition
sự cử động trước
(kỹ thuật) sự ép sơ bộ (khuôn)
trước khi sáng tạo thế giới
sự phòng bị
tên tục
trước mũi
trước khi sinh
xem prenatal
nhắc đến trước đây
(triết học) quan niệm tiên thiên
(giải phẫu) trước chẩm; trên chẩm
quyền chiếm hữu trước người khác
(giải phẫu) trước mắt
(kỹ thuật) dụng cụ bôi trơn sơ bộ
(kỹ thuật) sự bôi trơn sơ bộ
thành kiến
trước ổ mắt
định trước
xem preordain
xem preordain
(giải phẫu) trước buồng trứng
trước khi rụng trứng
trường trung học cơ sở (trường tư cho học sinh từ 7 đến 13 tuổi)
đã đóng gói trước
xem prepackaged
có thể prepare
xem preparative
người chuẩn bị
xem preparatory
trường trung học cơ sở (trường tư cho học sinh từ 7 đến 13 tuổi)
xem prepare
xem prepare
(giải phẫu) trước thái dương
(giải phẫu) trước bánh chè; thuộc đầu gối
xem prepense
trội hơn (về khả năng
xem preponderate
xem preponderate
cụm giới từ
xem prepositional
xem prepositive
xem prepossessing
xem prepossessing
hoàn toàn trái với lý lẽ thường
xem prepotent
học sinh ở những trường tư thục hay những người giống nhau
trước bữa ăn
việc in báo cáo
(kỹ thuật) tiền quá trình; tiền xử lý; xử lý trước
(kỹ thuật) xử lý trước
(kỹ thuật) bộ xử lý trước; bộ chọn trước
thuộc giai đoạn trước khi tập dượt làm một nghề
được chương trình hoá trước
(sinh vật học) kỳ đầu sớm
trước tuổi dậy thì; trước mu
trước tuổi dậy thì
giai đoạn trước dậy thì
(giải phẫu) thuộc xương trước mu
thuộc giai đoạn trước khi sách xuất bản chính thức
(kỹ thuật) sự phát xung sớm
(sinh vật học) giai đoạn nhộng con
xem prepuce
(giải phẫu) bao qui đầu
(thông tục) cuốn phim; quyển sách miêu tả nhân vật; sự kiện đã được miêu tả từ trước
ghi lại (td một chương trình vô tuyến...) để sau này sử dụng
đăng ký trước lúc ghi chính thức
(kỹ thuật) sự thiêu sơ bộ
xem prerogative
vt của President (Chủ tịch/Tổng thống)
người báo trước
(bánh mì
xem presbyterial
hệ thống cai quản giáo hội của Giáo hội Trưởng lão; hệ thống cai quản giáo hội của giáo hội Scotland
những người bình đẳng về cấp bậc
trẻ chưa đến tuổi đến trường; trẻ chưa đến tuổi đi học
tiền khoa học
xem prescient
xem prescribe
đề ra quy tắc
xem prescriptive
thuyết thói quen (trong ngôn ngữ)
người chủ trương prescriptivism
chọn trước
(kỹ thuật) bộ chọn trước
<ngôn> phân từ hiện tại
<ngôn> một trong các thì của động từ (thí dụ: present
xem presentable
chỉnh tề
xem presentation
thuyết chủ trương giác quan biết trực tiếp sự vật (chứ không cần đến sự suy nghĩ)
biết trực tiếp sự vật bằng giác quan
người dẫn chương trình (trên truyền thanh hoặc truyền hình)
xem presentiment
xem present
khay (tấm bìa
xem preserve
người bảo thủ
để bảo quản
thiết lập sẵn
có thể preset
sự preset
xem presidential
xem preside
thuộc tổng thống
báo hiệu trước; dự cáo
(kỹ thuật) sự thiêu kết sơ bộ
(động vật học) thời kỳ trước đẻ trứng
(động vật học) tinh bào thứ cấp
(động vật học) trước lỗ thở
văn phòng quảng cáo
người phụ trách quảng cáo (của rạp hát...)
<thgt> vua báo chí
bài báo cắt ra; đoạn báo cắt ra
người phát ngôn báo chí
người chụp ảnh cho báo chí
bìa ép
cục báo chí
nút bấm
khuy bấm (khuy nhỏ cho quần áo có hai mảnh ấn vào nhau)
<Mỹ><qsự><lóng> sự nạp đạn
(thông tục) quà tặng
bàn là
xem pressing
(sinh vật học) gen ép
ép; nén
số bản in
nhóm người gây sức ép (đối với một chính phủ)
điểm (máu chạy gần xương) có thể ép để chặn máu lại
kín áp (mối ghép)
sự gây sức ép
gây sức ép
sự gây sức ép
lò phản ứng hạt nhân được làm nguội bằng nước nén
xem pressurize
sản phẩm ép
(luyện kim) sự làm khuôn ép
tiền cho người mới đăng ký nhập ngũ
tầng đầu tiên (tên lửa)
sự nạp thuế
(tôn giáo) vị tư tế
trước ức; thuộc mảnh trước ức
(động vật học) mảnh trước ức
(thuộc) ngón tay nhanh nhẹn
có uy tín
xem prestigious
xem prestigious
phí tổn trợ cấp giáo sĩ (thiên chúa giáo)
tạo ứng suất trước (trong các cột chống) để chống lại sức nặng đè lên
(kỹ thuật) có ứng suất trước
(sinh vật học) tiền chất
có thể đoán chừng; có thể được; có lẽ
xem presume
xem presuming
xem presumptive
tự phụ
xem presupposition
xem presuppose
trước khớp thần kinh
trước khi khấu trừ thuế
trước 13 tuổi
xem pretended
xem pretentious
hình thái ghép có nghĩa quá
xem preterit
trước kỳ hạn
xuất hiện trước khi chết
xem pretermit
xem preternatural
siêu phàm
xem preternatural
xem pluperfect
sự thử
(sinh vật học) trước tinh hoàn
(giải phẫu) trước xương chày (cẳng chân)
thuộc pretor
xem pretorial
xem prettify
xem prettify
(kỹ thuật) sự điều chỉnh sơ bộ
bánh quy cây
xem prevail
xem prevailing
xem prevailing
xem prevalent
sự làm trước
xem prevenient
xem prevent
xem prevent
xem prevent
(luật pháp) giam giữ phòng ngừa (không cho phạm tội nữa)
xem preventive
xem preventive
số nhiều
đầu xuân
(giải phẫu) trước cột sống
(giải phẫu) trước bàng quang
xem previous
xem prevision
xem previse
(y học) tiền sinh tố
(ngôn ngữ học) ở ngay trước nguyên âm
để chuẩn bị vào nghề nghiệp (giáo dục)
tiền chiến
cảnh cáo trước
xem prey
(thông tục) quà tặng
(thuộc) dương vật
(từ cổ
kiểm soát giá cả
mức giá
chiến tranh giá cả
xem price-cutting
ấn định giá cả
chỉ số giá cả
sự sụt giá
sự nâng đỡ giá cả (do chính phủ)
nhãn ghi giá của cái gì; chi phí của cái gì
xem price
xem priceless
xem price
đắt tiền
xem pricey
xem pricey
(sinh vật học) tế bào gai biểu bì
cảm giác bị kim châm
cảm giác kiến bò
cây lê gai; quả lê gai
đắt tiền
xem prideful
xem prideful
giống như một giáo sự
xem priestly
lên mặt ta đây
thói lên mặt ta đây hay chữ
địa vị thứ nhất
Cách viết khác : primeval 
xem primal
điều chủ yếu
màu gốc
giáo dục sơ cấp
trường sơ cấp
chức tổng giám mục
xem primatial
thuộc primatology
người nghiên cứu primatology
môn động vật linh trưởng
giá vốn
đường kinh tuyến gốc
thủ tướng chính phủ
năng lượng nguồn
<toán> số nguyên tố
giờ cao điểm (trong phát thanh
xem prime time
bài primerô (phổ biến (thế kỷ) XVI
lúc thanh xuân
rau quả đầu mùa
nguyên thủy; thái cổ; nguyên sinh
xem primeval
sơ sinh; sơ thành; nguyên thủy
xem primigenial
xem primigenious
sự chửa con so
người đẻ con so
xem primipara
số nhiều
nguyên thuỷ
tính nguyên thủy
phái gnuyên sơ (trong (nghệ thuật)
người theo primitivism
xem primitive
nghiêm nghị
số nhiều primos
sơ sinh; sơ chế
thuộc con trưởng; thuộc quyền thừa kế của con trưởng
xem primogeniture
số nhiều
thái độ giữa phong cách nguyên sơ
nguyên thuỷ
số nhiều primordia
bếp dầu
hoàng phu (tước hiệu ban cho chồng của nữ hoàng đang trị vì)
xem princely
người đứng đầu
xem prince
vai nam chính (trong vở kịch câm; theo truyền thuyết do một phụ nữ đóng)
những dạng của một động từ (nguyên thể
(chức vụ) xem principal
hoàng tử
số nhiều
số nhiều principia
xem prink
bơ in hình hoa
vải in hoa
xem printable
có thể xuất bản
mạch in
ấn phẩm (tài liệu in: báo chí  có thể gửi qua bưu điện với giá hạ)
nhà in
giấy in
không dấu in
dữ liệu in ra từ máy tính
xem prior
dành ưu tiên
xem prior
(sinh vật học) diễn thể nguyên sinh
xem prismatic
(kỹ thuật) phòng lăng trụ
có dạng lăng trụ
trại giam
song sắt nhà tù
sự vượt ngục
xe chở tù nhân; xe tù
khó tính
sự khó tính
khó tính
xem pristine
tỉ mỉ
lính trơn
giảng sư ngoại ngạch (ở trường đại học Đức lương do sinh viên trả)
công ty tư doanh
xí nghiệp tư nhân
<thgt> thám tử tư
dân biểu; nghị sự thường
<thgt> chỗ kín
riêng
xem private
sự tư nhân hoá
tư hữu hoá
xem privative
sự tư nhân hoá
tư hữu hoá
qũy riêng; qũy đen
quốc ấn (ở Anh; dùng cho những tài tiệu ít quan trọng)
phần thưởng
đáng quý; đáng trọng; có giá trị
ngày phát phần thưởng (ở trường học)
việc phát phần thưởng
ngày phát phần thưởng (ở trường học)
người đoạt giải
Cách viết khác : award-winning 
trận đấu quyền anh lấy giải bằng tiền
quyền Anh đấu lấy tiền
theo quy ước
bảng kê khai hàng gửi đến người mua (báo giá mà không bắt trả)
thân Mỹ; ủng hộ Mỹ
thân Anh
ủng hộ cộng sản; thân cộng
thời kỳ trước động dục
hình thái động từ như do để khỏi lặp lại động từ
tiên phong thực hiện
(động vật học) mầm cánh
(động vật học) thuộc mầm cánh
cuộc đấu giữa một bên tài tử và một bên chuyên nghiệp
(thực vật học) cây hạt kín hoá thạch
(triết học) thuyết cái nhiên
người theo thuyết cái nhiên
thuộc thuyết cái nhiên
hầu như chắc chắn
người được khảo sát như đối tượng thí nghiệm
xem probation
người thí nghiệm
chứng minh
xem probe
nhằm phát hiện sự thật; tìm kiếm
nhằm phát hiện sự thật; tìm kiếm
đứa bé ngỗ ngược
khó giải quyết
người nghiên cứu thế cờ; người sắp thế cờ
xem problematist
số nhiều
chồi non; nụ non
(dược học) procain
(thuộc) xem procambium
(thực vật học) tiền tầng sinh gỗ
(thực vật học) thể quả cái
giai đoạn sụn non
nhà thờ xứ đạo dùng làm nhà thờ lớn
xem procedural
xem proceed
(proceedings against somebody / for something) vụ kiện
(động vật học) họ hải âu nhỏ
trước đầu
(sinh vật học) ấu trùng đuôi móc
(y học) hạch não trước
tình trạng có thể gia công
có thể xử lý
xem processability
xem processible
xem processional
(thuộc) xem procession
máy chế biến
thuộc tiền sụn; sụn non
(sinh vật học) mầm thể nhiễm sắc
sự lùi ngược niên đại
(giải phẫu) sự sa (ruột thẳng
xem proclaim
sự công bố
xem proclaim
(động vật học) có mầm xoang
sức sinh sản
xem procreate
(thuộc) xem Procrustes
nhân vật truyền thuyết Hy lạp có hai cái giường
(động vật học) sự đổi màu theo môi trường
(giải phẫu) học thuộc vùng hậu môn
(y học) viêm ruột thẳng
số nhiều
số nhiều proctodeums
Cách viết khác : proctological 
xem proctologic
bác sĩ chuyên về proctology
(y học) khoa ruột thẳng
xem proctoscope
xem proctoscope
xem procure
sự thay thế
biện lý
xem procurator
sự kiếm được
sự ngã rạp
xem prod
hoang phí (về việc tiêu tiền
phi thường
sự chọc
sự bạo nghịch
kẻ mưu phản
báo trước; thuộc tiền triệu
sách dẫn
xem produce
dài quá đáng
có thể sản xuất dược
có thể kéo dài ra
dây chuyền sản xuất
xem production
người chủ trương hợp tác để sản xuất
sản xuất
hợp đồng năng suất
(thực vật học) mầm phôi
(hoá học) proenzim; tiền men
(động vật học) mảnh bên ngực trước
xem proepimeron
(động vật học) thời kỳ trước động đực
giáo sư (đại học)
xem profane
(thuộc ngữ) ngoại đạo
xem profane
xem profane
<thể> lỗi chơi gian (nhất là trong bóng đá)
xem professionalize
xem professor
xem proffer
xem proficient
tài giỏi
xem profile
sự gia công định hình; sự chép hình
người vẽ hình nhìn nghiêng
(kỹ thuật) máy ghi biên dạng
máy đo biên dạng
lãi ròng (sự chênh lệch giữa chi phí mua hoặc sản xuất cái gì và giá bán của nó)
sự có lợi
có lợi
bánh phồng có nhân
không có lợi
xem profligate
xem profound
một cách sâu sắc; hết sức
có nhiều
(sinh vật học) giao tử non; tiền giao tử
tiền giao phối
sự progenetic
tiền phát sinh; phát sinh sớm
tính hướng đất thuận
trước thụ thai
hoocmon giới tính duy trì thai
xem prognathous
quay cùng hướng với các thiên thể lân cận
xem programmed
người lập trình (trên máy tính)
xem program
xem program
âm nhạc tiêu đều đề
bản giới thiệu chương trình
theo hình thức đã được lập trình
khoá học theo giáo trình
sự tự học theo một giáo trình
người lập trình (trên máy tính)
xem progression
thể tiến hành; thì tiếp diễn
tăng lên; tăng dần dần từng nấc
xem progressivism
xem progressivism
nhằm ngăn cấm
xem prohibitive
xem project
phòng chiếu phim (nhất là trong rạp hát)
xem projection
xem projective
sinh vật chưa có nhân điển hình (sinh vật nhân nguyên thủy)
(sinh vật học) prolan; hocmôn kích thích sinh dục
sa xuống
xem prolate
xem prolate
<thgt> người của giai cấp Vô sản
xem prolegomenon
số nhiều
xem prolepsis
xem proliferate
xem proliferate
xem proliferous
mắn (đẻ)
xem prolix
(viết tắt cho PROgramming in LOGic) Tên một ngôn ngữ lập trình cấp cao
dây chằng ở toa hàng
xem prolong
xem prolusion
(động vật học) chim hút mật (Nam phi)
lồi lên
pha tạp
xem promiscuous
sự vứt bỏ lời cam kết
kẻ vi phạm lời cam kết
xem promise
có thể tốt
hứa hẹn; hẹn (trả tiền )
giấy hẹn trả tiền
số nhiều promos
xem promote
xem promote
(thuộc) quảng cáo (để bán hàng )
xem promotion
xem promotive
mau lẹ
(sinh vật học) sợi nấm non
(kiến trúc) cổng vào điện thờ
(giải phẫu) thuộc tiền thận
(giải phẫu) tiền thận
(Pháp) người đề xướng
xem pronghorn
con linh dương có gạc nhiều nhánh
như một đại từ
rõ rệt
xem pronounced
xem pronounce
<Mỹ> nhanh
xem pronucleus
thuộc phát âm/ trình bày
tuyên ngôn
xem pronunciation
thuộc phát âm
xem pronunciative
hỗn hợp rượu và nước ở nồng độ chuẩn
sự chữa trên bản in thử
tinh rượu tiêu chuẩn (ở Mỹ là 50 %
xem proof
tuabin phản lực cánh quạt
số nhiều
(có mục đích) tuyên truyền/ truyền giáo
xem propaganda
xem propaganda
xem propagandize
xem propagation
(thực vật học) cành giâm; cành chiết
xem propagule
prôban (khí không màu có trong tự nhiên và dầu lửa
(ngôn ngữ học) có trọng âm trước âm tiết áp chót
bút chì bấm (xoay)
thiên hướng; sự ham thích
<toán> phân số thật sự
tên riêng; danh từ riêng
xem proper
thuế đánh vào tài sản hiện có; thuế tài sản
xem property
(sinh vật học) thể tiền thực khuẩn
xem prophase
xem prophesy
số nhiều
xem prophet
tiên tri
xem prophetic
số nhiều
(thực vật học) Libe non
hướng sáng thuận; hướng sáng dương
xem prophylactic
số nhiều
(thực vật học) lá bắc nhỏ; lá gốc
xem propitiate
xem propitiate
xem propitiate
xem propitiatory
thuận lợi
xem propitious
(kỹ thuật) động cơ tua bin chong chóng
mô hình
(sinh vật học) thể hạt non
số nhiều
số nhiều propleura
thuộc phần trước chân (thân mềm)
(sinh vật học) trước cực
(Scotland) đề nghị
cân xứng
cân đối
xem proportionate
xem proportion
xem proportion
người đề xuất một bản kiến nghị
xem proposition
Cách viết khác : propretor 
xem propraetor
xem proprietary
xem proprietor
sự nhận cảm trong cơ thể
nhận cảm trong cơ thể
cơ quan tự cảm
(sinh vật học) tự sinh; nội sinh
số nhiều
số nhiều propterygia
đẩy; dồn
(kỹ thuật) bộ phận đẩy; động cơ phản lực
xem propulsion
giai đoạn trước nhộng
mảnh nắp hậu môn
propylen
theo tỷ lệ
sự chia theo tỷ lệ
không sáng tạo
xem prosaic
(giải phẫu) xương đòn
vòm trước sân khấu
số nhiều proscolices
số nhiều
đặt (ai) ra ngoài vòng pháp luật
kẻ ra lệnh phát vãng
xem proscription
giải phẫu
xem prosecute
xem proselyte
xem proselytism
xem proselytize
xem proselytize
(giải phẫu) thuộc não trước
(giải phẫu) não trước
xem prosenchyma
nhà văn xuôi
(thần thoại
tầm thường
(động vật học) bộ bán hầu
viết văn xuôi
phễu nước; ống hút trước
tán thành chế độ nô lệ
(động vật học) phân lớp mang trước (động vật thân mềm chân bụng)
nhà vận luật học
xem prosody
(y học) chứng liệt mặt
xem prospective
xem prosperous
interj
<phẫu> tuyến tiền liệt (gần cơ quan sinh dục nam)
(y học) sự cắt tuyến tiền liệt
thuộc prosternum
(động vật học) tấm ngực trước (sâu bọ)
mảnh trong hàm nhai
<ngôn> sự thêm tiền tố
xem prosthetic
bộ phận nha khoa làm răng giả
xem prostitute
số nhiều
trước miệng; thuộc phần trước miệng; thùy trước miệng (côn trùng)
số nhiều prostomia
xem prostrate
vt của Protestant (người theo đạo tin lành)
hình thái ghép có nghĩa là
protamin
thuộc nhị chín trước; yếu tố đực chín trước
hiện tượng nhị chín trước
có nhị chín trước; có yếu tố đực chín trước
tính nhị chín trước
hình thái ghép có nghĩa là protein: proteolysis : sự phân giải protein
vật bảo vệ; chất bảo vệ
xem protect
xem protection
sự giam giữ phòng ngừa (giữ một người tù vì sự an toàn của chính người đó)
bảo vệ
không có protein
giàu protein
hiện tượng nước tiểu có protein
trong lúc này
kéo dài (thời hạn)
kéo dài thời gian; sống lâu
xem prote-
phân hủy protein
xem proteolysis
(thực vật học) (thuộc) nhị chín trước
(thực vật học) có nhị chín trước
(thực vật học) tính nhị chín trước
(thực vật học) có hoa ra trước lá
sự có hoa ra trước lá
thuộc nhụy chín trước
có nhụy chín trước
tính nhụy/ yếu tố cái chín trước
thuộc đại nguyên sinh
người phản đối
(thực vật học) thuộc nguyên tản/ tản non
(thực vật học) dạng nguyên tản
xem prothesis
xem prothesis
thuộc đốt ngực trước (côn trùng)
đốt ngực trước (côn trùng)
sinh vật đơn bào
thuộc sinh vật đơn bào
(kiến trức) thuộc hình thức Iôni nguyên thủy
túi bảo tử gỉ non (tiền bảo tử khí)
đảm non (tiền đảm)
(sinh vật học) đời sống siêu hiển vi
(sinh vật học) nguyên bào; tế bào mầm
thuộc hạch não trước
hạch não trước
xem protocerebron
(sinh vật học) tiền diệp lục tố
xem protocol
vỏ ốc non
mấu trong (răng hàm trên)
mấu ngoài (răng hàm dưới)
mầm rễ
bờ trước gân sườn cánh
vùng chẩm
gen tương ứng trội
thời kỳ tiền phát sinh
khởi sinh; bắt đầu phát triển
thời sơ sử
thuộc người khởi thủy (người nguyên thủy)
ngôn ngữ nguyên thủy
bạch cầu non; tiền bạch cầu
thuộc thời đại thạch khí nguyên thủy
phần trước chất nguyên sinh tủy
dạng gốc
xem protomorphic
có thêm một proton
số nhiều protonemata
số nhiều
dạng tản sợi
số nhiều
thuộc nguyên đơn thận
số nhiều protonephridia
(sinh vật học) hạch thần kinh đơn cực; nơron đầu
lục sự chính của nhiều toà án (bỏ năm 1832)
(sinh vật học) nguyên phát; tiền bệnh
lượng thức ăn và dịch vị trong dạ dày
(sinh vật học) thể quả dạng chai non
(động vật học) có chân trước
hình thức giả thiết của sao lúc đầu tiên
hình thức đầu tiên của tế bào thực vật
sinh vật ăn chất vô cơ
xem protozoan
động vật nguyên sinh
xem protozoan
xem protozoology
xem protozoology
động vật nguyên sinh
xem protract
xem protract
xem protractile
xem protract
ăn chất vô cơ
xem protrude
xem protrusile
xem protrusive
xem protrusive
xem protuberant
Cách viết khác : proud-hearted 
người ngạo mạn
xem proud
vt của Province (tỉnh; nhất là trên bản đồ)
xem prove
có thể chứng tỏ
Cách viết khác : provenience 
thuộc Provence
xem proven
dạ dày tuyến (chim)
xem prove
ngạn ngữ; tục ngữ
người sưu tập tục ngữ
(thuộc) tục ngữ
liên từ
do ý trời
xem provident
liên từ
xem provincialize
thuộc về một tỉnh
cành chiết
sự chứng minh
tạm
xem provision
người cung cấp thiết bị
số nhiều là Provos
khiêu khích
khiêu khích
xem provocative
xem provoke
(động vật học) cá mũi tàu
vt của proximo (vào tháng tới
hướng gần tâm
xem proximal
xem proximate
xem proximate
Phím in màn hình
xem prudential
xem prudent
làm bộ đoan trang kiểu cách
sự cả thẹn
dạng quả mận
sự tỉa
dao tỉa cây
số nhiều
ham muốn không lành mạnh; thèm khát nhục dục
(y học) ngứa
(y học) bệnh ngứa
Cách viết khác : prussianize 
chủ nghĩa Phổ
xem prussianise
axit xyanhydric (chất độc rất nguy hiểm)
người tò mò
tò mò
xem pry
(vt của postscript) tái bút
bài thánh ca
sách thánh ca
người soạn thánh ca
(thuộc) thuật hát thánh ca
người hát thánh ca
hát thánh ca
sự hát thánh ca
sách thánh ca
dạ lá sách (động vật nhai lại)
<nhạc> đàn xante (một loại đàn cổ)
số nhiều psammona
số nhiều
(động vật học) ưa cát; thích cát
(thực vật học) thực vật ưa cát
diễn thể thực vật ở cát
tật nói lắp
xem psellism
(khoáng vật học) xêphit
(thuộc) khoa nghiên cứu bầu cử
nhà nghiên cứu về bầu cử
khoa nghiên cứu về bầu cử
người huênh hoang
hình thái ghép có nghĩa là giả
(thực vật học) trục giả
số nhiều
sự gán những tác giả không phải cho tác phẩm
(sinh vật học) báo hiệu giả; thuộc màu lừa giả
giả
xem pseud-
thiên chúa giả hiệu
kinh điển giả hiệu
(sinh vật học) Alen giả
thuộc alen giả
hiện tượng alen giả
(sinh vật học) có ổ giả
(sinh vật học) sự trực phân giả
(thực vật học) thuộc quả kín giả
(sinh vật học) ngụy trang giả; thuộc màu ngụy trang giả
ở đất ẩm
thuộc trục giả
(sinh vật học) đảm vách giày; đảm giả
(sinh vật học) lưỡng trị giả
(động vật học) vây ngực giả
(động vật học) mang phụ giả
có bọng giả; có túi chứa nước
(thực vật học) bọng giả; túi chứa nước
túi giả
(sinh vật học) chuỗi tim giả
<thực> quả giả
xem pseudocarp
thuộc tế bào phụ
(côn trùng) mắt đơn giả
(động vật học) nhộng giả
(côn trùng) khoang giả; khoang máu (chân khớp)
có khoang giả; khoang máu
(sinh vật học) trụ giả
vỏ giả
nón giả
(sinh vật học) bào tử đính giả
sự tiếp hợp giả
sự thụ thai giả
kén giả
da giả; bì giả
tính trội
có răng giả
thực vật biểu sinh giả
giao phối giả
dạ dày giả
phôi dạ giả
tác phẩm văn học giả mạo
<đùa> kẻ nói dối có hệ thống
màng giả
sự gián phân giả; sự chia dọc một lần
sự giao phối giả
dạng giả
<khoáng> hiện tượng giả đồng hình
giả hình
biệt hiệu
sự ký biệt hiệu
ký biệt hiệu
xem pseudonym
xem pseudonym
giả tuần hoàn
chân giả; cuống giả
(y học) tính thụ thai giả
sự nhai lại giả
(thực vật học) hạt giả; lá noãn giả
(toán học) giả mặt cầu
interj
vt của per square inch (số pao (áp suất) trên một insơ vuông; lốp xe )
xem psittacosis
(động vật học) vẹt xám
xem psoriasis
thuộc bệnh ngứa
interj
<Mỹ> vt của Pacific Standard Time giờ chuẩn ở Thái Bình Dương
phương tiện vận tải công cộng (public service vehicle)
<thgt> làm rối trí
hình thái ghép
(y học) sự suy nhược tâm thần
suy nhược tâm thần
sự phân tích tâm lý
ở trạng thái lâng lâng
xem psychiatry
xem psychic
tiểu sử phát triển tâm lý (của người)
thuộc tâm sinh học
nhà tâm sinh học
môn tâm sinh học
tâm lý - động học
sự nghiên cứu quá trình phát sinh tinh thần
thuộc tâm-vật lý
tác động đến trí tuệ
chữa bệnh bằng phân tâm học
phân tâm học
nhà phân tâm học
(thuộc) phân tâm học
(thuộc) phân tâm học
(thuộc) phân tâm học
chữa bệnh bằng phân tâm học
bắt nguồn từ tâm lý
hành động trong trạng thái xuất thần
nhà ngôn ngữ tâm lý
thuộc ngôn ngữ tâm lý
ngôn ngữ tâm lý học
chiến tranh tâm lý
(thuộc) tâm lý
thuyết tâm lý luận
thuật gọi hồn
<y> bệnh loạn thần kinh chức năng
xem psychopathic
xem psychopathology
xem psychopathology
nhà tâm sinh lý
tâm sinh lý học (cũng) physiological psychology
tâm sinh dục
tâm sinh dục
tâm lý xã hội
(thuộc) bệnh căng thẳng thần kinh
xem psychotherapy
xem psychotherapy
người chữa bệnh bằng liệu pháp tâm lý
xem psychotic
(Mỹ) thuốc gây rối loạn tâm lý
làm hành vi
tác động đến tâm thần (thuốc)
hình thái ghép có nghĩa là lạnh : psychrophilic : ưa lạnh
ưa lạnh; ưa nhiệt độ dưới 20 độ C
nhà sinh lý tâm lý
(thực vật học) cây mã đề bọ chét
số nhiều pts
(PTA)  <vt> của parent-teacher association hội phụ huynh-thầy giáo (ở các trường học)
tàu tuần tiểu phóng ngư lôi (viết tắt) của patrol torpedo boat
<vt> của Private lính trơn
hình thái ghép có nghĩa là cánh: pteropod : động vật chân cánh
(thực vật học) quả có cánh
xem pteridology
xem pteridology
loại cây không có hoa (đặc biệt (như) cây dương xỉ)
hạt có cánh
số nhiều
xem pter-
quả có cánh
xem pterodactyl
xem pterodactyl
dạng cánh
xem pteropod
mắt cánh (côn trùng)
số nhiều
thuộc cánh
xương cánh
có cánh
số nhiều pterygia
phân lớp sâu bọ có cánh
có cánh
số nhiều pterylae
số nhiều
(PTO) hoặc (pto)  <vt> của please turn over xin giở sang trang
chế độ cai trị bởi người nghèo
sự ngộ độc thực phẩm
xem ptosis
cuộc rượu chè la cà
có không khí quán rượu
xem puberty
xem puberty
có lông măng
(thuộc) mu (trên phần dưới của bụng
quầy rượu bình dân
<vt>  PLC
nhà vệ sinh công cộng
<vt>  PLR bản quyền cho thuê sách
<vt>  PLC
<pháp> sự vi phạm trật tự công cộng
dư luận
cuộc thăm dò dư luận dân chúng
quyền sở hữu công cộng; quyền công hữu
<pháp> ủy viên công tố
(Public Record Office) Cục lưu trữ công cộng
trường dân lập (nhất là ở Anh)
phương tiện giao thông công cộng
ngành dịch vụ công cộng (cấp nước
xem public opinion
đưa ra công khai; làm cho thiên hạ biết đến
nhân viên quảng cáo
xem public
xem publish
ban tập viên
công việc xuất bản; nghề xuất bản
nhàu nát; nhăn nheo
xem puckish
xem puckish
làm náo loạn; gây hốt hoảng
xem pudendum
sự béo lùn
tính e thẹn
xem puerile
chuyện trẻ con
bột nhào nở (làm bánh nướng
<thgt> hổn hển
thổi phù; phụt ra từng luồng
sự thổi phù; sự phụt ra từng luồng
mặt như mặt khỉ
thích đánh nhau
xem pugnacious
quyền lực; sức mạnh; uy lực
xinh đẹp
xem pule
thuốc diệt bọ chét
tiếng khóc nhè (trẻ con)
quán cà phê bên đường
nơi đỗ xe
khối gỗ gắn puli
toa Punman (toa xe lửa hạng sang)
toa Punman (toa xe lửa hạng sang)
áo len chui đầu
xem pullulate
(hàng hải) sự kéo đẩy
lá phổi-sách; lá mang-phổi
thuộc phổi-dạ dày
(y học) sỏi phổi
máy nghiền bột giấy
thuộc tủy (răng)
nghiền thành bột nhão
ẩn tinh
không có mạch đập; không có sinh khí
(kỹ thuật) bộ tạo xung; máy phát xung
sự nghiền nhão
có thể pulverate
nghiền thành bột; tán thành bột
sự tán thành bột; sự trở thành bột; sự phun thành bụi (nước)
dạng bột
(động vật học) có đệm vuốt/ đệm bàn
số nhiều
dạng đệm vuốt
số nhiều pulvilli
có hình gối
(thực vật học) thể gối (lá)
lông măng
cây bưởi chùm
đá bọt
xem pumice
dạng đá bọt
sự đánh đập dữ dội
máy bơm
bánh lúa mạch đen
phòng (tại một suối khoáng) có sẵn nước khoáng
(thông tục) đi đái
khả năng bơm
năng suất máy bơm
sự bơm
sự bơm ra
punaluan (con trai con gái trong một nhóm đều là vợ chồng của nhau)
phiếu đục lỗ
cái bị nhét đầy để tập đấm (bao cát)
quả bóng để tập đấm (bằng da nhồi hoặc bơm căng treo lơ lửng; nhất là các võ sự hay dùng)
điểm nút (của một chuyện đùa
<thgt> cuộc ẩu đả
phiếu đục lỗ
xem punchy
xem punchy
